type,signature,reason
FAT.Merge.IMergeEnvironment,public abstract bool TryIncMergeTestSpawnBubbleCount(int tid);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool IsBubbleGuidePassed();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool IsSpeedupGuidePassed();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool CanMergeProduceCoin();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeMixCost GetMergeMixCostConfig(int costId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeTapCost GetMergeTapCostConfig(int costId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeTapCost FindPossibleCost(IList<int> costIdList);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract MergeTapCost FindCostByItem(IList<int> costIdList, Item item);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract OrderBoxDetail GetOrderBoxDetailConfig(int boxId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract int GetMergeLevel();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeGlobal GetGlobalData();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract int GetPlayerTestGroup(int groupId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract void FillGlobalMergeBonusHandlers(List<IMergeBonusHandler> container);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract void FillGlobalSpawnBonusHandlers(List<ISpawnBonusHandler> container);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract void FillGlobalDisposeBonusHandlers(List<IDisposeBonusHandler> container);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract void NotifyItemMerge(Item newItem);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract void NotifyItemUse(Item newItem, ItemComponentType usedComponent);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract void NotifyItemEvent(Item newItem, ItemEventType ev);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract int CalculatePostCardPercentage(Item item);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IRunningEnvironment,public abstract bool canShopSellItemUse();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IEnergyBoostReplaceItem,public abstract int get_ActivityBoardId();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IEnergyBoostReplaceItem,public abstract bool IsItemNeeded(int itemId);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeItemIndicatorHandler,public abstract void add_Invalidate(Action value);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeItemIndicatorHandler,public abstract void remove_Invalidate(Action value);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeItemIndicatorHandler,"public abstract ItemIndType CheckIndicator(int itemId, out string asset);",Il2CppDumper RVA = -1; no native address
FAT.Merge.ISpawnEffectWithTrail,"public abstract void AddTrail(MBItemView view, Tween tween);",Il2CppDumper RVA = -1; no native address
